PMID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
28250304,"('C7A.1', 0.4)",C37,E24.3,B59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28239141,"('C92.1', 0.8333333333333334)",C92,E83.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28196820,"('M95.4', 0.25)","('Q77.2', 0.3333333333333333)","('T81.32', 0.2)",K44,"('D16.7', 0.2)",K44.9,"('M99.18', 0.2)",Q89.7,"('S23.41', 0.5)","('Q32.2', 0.5)","('S22.4', 0.3333333333333333)","('C41.3', 0.2)","('Q76.6', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28173879,R78.81,"('B96.81', 0.14285714285714285)",L03.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28154669,Q43.0,K66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28154287,"('R84', 0.3333333333333333)","('R04.2', 0.5)",B45.7,"('S19.82', 0.2)","('S12.8', 1.0)","('S10.0', 0.5)","('K22.1', 0.3333333333333333)","('D38.1', 0.3333333333333333)","('T17.41', 0.5)","('Q32.1', 0.5)","('R09.3', 0.5)","('S27.5', 0.3333333333333333)",B45,"('Z80.1', 0.2857142857142857)",E11,"('S11.02', 0.3333333333333333)","('S17.0', 0.25)",N18.9,"('C33', 0.3333333333333333)","('D02.1', 0.3333333333333333)",N18,"('T27.1', 0.4)","('T18.120', 0.2)",B45.9,"('J67', 0.09090909090909091)","('Z85.1', 0.2857142857142857)","('A15.5', 0.5)","('D14.2', 0.3333333333333333)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28151882,M45-M49,"('S23.1', 0.5)","('M51', 0.14285714285714285)",M48.9,"('M46.24', 0.5)","('M48.44', 0.4)","('M99.12', 0.16666666666666666)","('S22', 0.6666666666666666)","('M43.5X4', 0.14285714285714285)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28121940,"('D16.4', 0.5)","('C40', 0.3333333333333333)","('R85.610', 0.2222222222222222)","('C40-C41', 0.3333333333333333)","('Z85.83', 0.5714285714285714)","('M60-M79', 0.5)","('D21', 0.5)","('D20.0', 0.6)","('D00.04', 0.5)","('C46.1', 0.4)","('D24', 0.4)","('C05.1', 0.5)","('M70', 0.4)","('K05.5', 0.3333333333333333)","('M26.81', 0.5)","('D48.1', 0.5)","('C11.3', 0.25)","('P03.89', 0.3333333333333333)","('C79.51', 0.5)","('L89.814', 0.3)","('R87.610', 0.2222222222222222)","('M05.13', 0.3333333333333333)","('D38.1', 0.3333333333333333)","('D37.04', 0.25)","('D14.3', 0.5)","('D03.52', 0.3333333333333333)","('C41.0', 0.5)","('D49.2', 0.5714285714285714)","('C49', 0.6)","('C34', 0.5)","('Z80.1', 0.2857142857142857)","('M70-M79', 0.4)","('C45-C49', 0.5)","('C44.52', 0.6)","('M79.9', 0.5)","('C78.0', 0.5)","('M60.2', 0.2857142857142857)","('M90.6', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28120581,"('Q25.48', 0.5)","('H95', 0.2222222222222222)","('H59.88', 0.2857142857142857)","('A81.09', 0.6666666666666666)","('E36-E36', 0.4)","('L76', 0.3333333333333333)","('S15.0', 0.375)","('I65.2', 0.75)","('E36', 0.5)","('G97.81', 0.4)",J94.2,"('J95-J95', 0.2222222222222222)","('H95-H95', 0.2)","('H59-H59', 0.2222222222222222)","('D78-D78', 0.4)","('N99-N99', 0.2222222222222222)","('I97.88', 0.2857142857142857)","('S25.1', 0.5)","('N99.81', 0.4)","('J95.88', 0.2857142857142857)","('D78', 0.5)","('I72.0', 0.75)","('M96.89', 0.2857142857142857)","('K91.81', 0.4)","('M96-M96', 0.2222222222222222)","('L76-L76', 0.2857142857142857)","('I63.23', 0.375)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28115731,"('T81.7', 0.4)","('O07.2', 0.2857142857142857)","('T80.0', 0.2857142857142857)","('O08.2', 0.3333333333333333)","('O04.7', 0.3333333333333333)",I26,"('O03.2', 0.3333333333333333)","('O88.0', 0.6666666666666666)","('T79.0', 0.6666666666666666)",I26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
